,User,Tweets,Subjectivity,Polarity,Analysis
147,SnehaKu79439771,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
148,AmjadBhatt_,"Indeed many are meritorious among them but they all are so mean and selfish too. For their own sake they shielding scamsters. But nothing will come out of nothing. 
Delhi ignore agniveer aspirants then think who are you? faascam  

 1stAugDelhiChalo",0.796875,0.071875,Positive
149,Abhijit16021981,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
150,BhssaryanF,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
151,BalbirS41836841,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
152,Sandeep10846528,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
153,MohdAsh64644722,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
154,Shakee79227466,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
155,MohdAsh64644722,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
156,Narinde70203201,: Recruitment Rally by ARO Srinagar being organised from 17 to 30 Sep 22. Apply online from 05 Jul 22 to 03 Aug 22. The…,0.0,0.0,Neutral
157,J_jasmeetkaur,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
158,MaheshwariSinh5,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
159,sajaid_ahmad,: This is the Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir who are bold enough to spea…,0.5833333333333333,0.16666666666666666,Positive
160,sajaid_ahmad,: Be witness to Agniveer revolution in Kashmir .. AgnipathScheme.These are WomenOfKashmir with good KashmirWomenPower…,0.6000000000000001,0.7,Positive
161,sajaid_ahmad,_hit05: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPower.…,0.6000000000000001,0.7,Positive
162,digu9w,: Day 3 of Kargil Vijay Diwas _in : Team  reaches hills of Drass in remembrance of 1999 war heroes and the…,0.0,0.0,Neutral
163,GulzarS19604951,_hit05: Be witness to Agniveer revolution in Kashmir ... AgnipathScheme. These are  WomenOfKashmir with good KashmirWomenPower.…,0.6000000000000001,0.7,Positive
164,padmajMalik,: A Motivational and Awareness lecture on the theme 'Join Indian Army' and AgnipathScheme conducted by Army Recruiting o…,0.0,0.0,Neutral
165,VikashK78370729,": ""Kashmir youth have an opportunity to join as Agniveer""
IndianArmy Recruitment Rally by ARO Srinagar being held from…",0.0,0.0,Neutral
